,Company name Latin alphabet,BvD ID number,"DM
Full name","DM
UCI (Unique Contact Identifier)","DM
Current or previous","DM
Type of role","DM
Board, committee or department"
,,,Mr Arnaud De Bussac,P340955229,Current,SenMan,Senior management
,,,Mr Michel Dechelotte,P013403134,Current,SenMan,Senior management
,,,Mr Bertrand Delahaye,P436001861,Current,SenMan,Senior management
,,,Ms Ghislaine Doukhan,P409117446,Current,SenMan,Senior management
,,,Mr Vincent Duprez,P444779335,Current,SenMan,Senior management
,,,Mr Pierre Henri Bernard Fabre,P016135158,Current,SenMan,Senior management
,,,Mr Gilbert Font,P051733508,Current,SenMan,Senior management
,,,Mr Jean-lin Fournereaux,P041827402,Current,SenMan,Senior management
,,,Mr David Galic,P436001855,Current,SenMan,Senior management
,,,Mr Pierre Gerard,P087868558,Current,SenMan,Senior management
,,,Mr Walid Hamzeh,P444779344,Current,SenMan,Senior management
,,,Mr Sebastien Imbourg,P444779309,Current,SenMan,Senior management
,,,Mr Philippe James,P154773196,Current,SenMan,Senior management
,,,Mr Pierre Jorant,P272224877,Current,SenMan,Senior management
,,,Mr Joel Keser,P444779345,Current,SenMan,Senior management
,,,Ms Corinne Lagache,P436001852,Current,SenMan,Senior management
,,,Mr Philippe Edith Robert Jean Lallemand,P039794817,Current,SenMan,Senior management
,,,Mr Olivier Le Merrer,P028242258,Current,SenMan,Senior management
,,,Mr Francois Lepot,P444779343,Current,SenMan,Senior management
,,,Mr Serge Jean Pierre Maille,P049551683,Current,SenMan,Senior management
,,,Ms Catherine Malek,P436001854,Current,SenMan,Senior management
,,,Mr Frederic Leopold Lucien Mazzanti,P171460485,Current,SenMan,Senior management
,,,Mr Serge Marie Pons,P131633684,Current,SenMan,Senior management
,,,Mr Dominique Rousseau,P664239280,Current,SenMan,Senior management
,,,Mr Olivier Bernard Michel Ruas,P421088202,Current,SenMan,Senior management
,,,Mr Pierre Claude Maurice Syx,P048601334,Current,SenMan,Senior management
,,,Ms Gioia Venturini,P436001853,Current,SenMan,Senior management
,,,Mr Nigel Robert Woodford,P045822220,Current,SenMan,Senior management
,,,Mr Roberto Zannier,P444779315,Current,SenMan,Senior management
,,,Mr Giuseppe Curci,P437007418,Current,SenMan,Senior management
,,,Mr Alex Bertrand Fain,P051729945,Current,SenMan,Senior management
,,,Ms Stephanie Agamennone,P444779306,Current,SenMan,Senior management
,,,Ms Cecilia Matissart,P444779303,Current,SenMan,Senior management
,,,Ms Charlotte Matringe,P238163666,Current,SenMan,Senior management
,,,Ms Christine Orfila,P421605539,Current,SenMan,Senior management
,,,Mr Pierre-Anthony Vastra,P087382043,Current,SenMan,Senior management
,,,Mr Joelle Wathelet,P444779307,Current,SenMan,Senior management
,,,Mr Olivier Jean Blat,P160054712,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Mr Diego De Viaris,P052085301,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Mr Pierre-Jean Flores,P052839250,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Mr Yann Lecois,P052096559,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Mr Gilles Poilvet,P065442203,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Mr Gilles Garczynski,P095743672,Current,HR,Human Resources (HR)
,,,Mr Cedric Hale,P146903632,Current,HR,Human Resources (HR)
,,,Mr Pascal Legrain,P342117860,Current,HR,Human Resources (HR)
,,,Mr Vincent Mackie,P444779311,Current,HR,Human Resources (HR)
,,,Mr Xavier Naveau,P444779310,Current,HR,Human Resources (HR)
,,,Mr Bruno Pasini,P430384265,Current,HR,Human Resources (HR)
,,,Mr Edouard Petit De Meurville,P237669386,Current,HR,Human Resources (HR)
,,,Mr Florent Chauvancy,P121446054,Current,Sales,Sales & Retail
,,,Mr Francois Guerzeder,P049318519,Current,Sales,Sales & Retail
,,,Mr Jamil Dirani,P276229469,Current,MarkAdv,Marketing & Advertising
,,,Mr Adam Smith,P649081033,Current,LegDep,Legal/Compliance/Risk department
,,,Mr Bernard Barussaud,P444779302,Current,R&D,Research & Development / Engineering
,,,Mr Pierre Cottenceau,P444779305,Current,R&D,Research & Development / Engineering
,,,Mr Francois Feugier,P397925283,Current,R&D,Research & Development / Engineering
,,,Mr Francois-Xavier Foubert,P269614015,Current,R&D,Research & Development / Engineering
,,,Mr Bertrand Hugueny,P349925597,Current,R&D,Research & Development / Engineering
,,,Mr Jean-Paul Louis,P142934723,Current,R&D,Research & Development / Engineering
,,,Mr Eric Masse,P076368528,Current,R&D,Research & Development / Engineering
,,,Mr Pierre Thouraud,P051549399,Current,R&D,Research & Development / Engineering
,,,Ms Helene Moreauleroy,P132654055,Current,PMPMan,Product/Project/Market Management
,,,Mr Pascal Alain Joseph,P452088344,Current,Oper,Operations & Production & Manufacturing
,,,Mr Philip Georges Raoul Moressee,P288363037,Current,Oper,Operations & Production & Manufacturing
,,,Mr Marc Ventre,P041771291,Current,Oper,Operations & Production & Manufacturing
,,,Mr Mathieu Eric Donatien Albert,P323162939,Current,Qual,Quality Assurance
,,,Mr Yannick Bonnaire,P444779301,Current,Qual,Quality Assurance
,,,Mr Laurent Collignon,P444779300,Current,Qual,Quality Assurance
,,,Mr Arnaud Hauguel,P435630014,Current,Qual,Quality Assurance
,,,Mr Loic Jacquemin,P444779304,Current,Qual,Quality Assurance
,,,Mr Denis Saladin,P436295875,Current,Qual,Quality Assurance
,,,Mr Emile Beauduin,P444779308,Current,Proc,Purchasing & Procurement
,,,Mr Emmanuel Drouet,P444779314,Current,Proc,Purchasing & Procurement
,,,Mr Alain Frehring,P077473870,Current,Proc,Purchasing & Procurement
,,,Mr Eric Froger,P674795599,Current,Proc,Purchasing & Procurement
,,,Ms Sylvie Mory,P444779313,Current,Proc,Purchasing & Procurement
,,,Mr Frederic Rascouailles,P437007421,Current,Proc,Purchasing & Procurement
,,,Mr Daniel Dubreuil,P051801347,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Alain Navez,P444779312,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Philipppe Catte,P049299450,Current,OthDep,Other or unspecified department
5.,LEONARDO S.P.A.,IT00401990585,Mr Norman James Bone,P087186035,Current,BoD,Board of Directors
,,,Mr Luciano Carta,P378468173,Current,BoD,Board of Directors
,,,Mr Luciano Carta,P378468173,Current,SenMan,Senior management
,,,Mr Giovanni De Gennaro,P170212218,Current,BoD,Board of Directors
,,,Mr Luca Rossi,P104044527,Current,BoD,Board of Directors
,,,Mr Piero Guido Alpa,P014361129,Current,BoD,Board of Directors
,,,Mr Carmine America,P651031473,Current,BoD,Board of Directors
,,,Mr Pier Francesco Barletta,P014393783,Current,BoD,Board of Directors
,,,Ms Marina Elvira Calderone,P070368705,Current,BoD,Board of Directors
,,,Mr Paolo Cantarella,P014338181,Current,BoD,Board of Directors
,,,Carmine America,CVA0ABYNTI,Current,BoD,Board of Directors
,,,Ms Elena Comparato,P185330373,Current,BoD,Board of Directors
,,,Dr Marta Dassu,P048912897,Current,BoD,Board of Directors
,,,Mr Dario Frigerio,P014297339,Current,BoD,Board of Directors
,,,Ms Patrizia Michela Giangualano,P086825379,Current,BoD,Board of Directors
,,,Ms Paola Giannetakis,P163126902,Current,BoD,Board of Directors
,,,Ms Federica Guidi,P008380310,Current,BoD,Board of Directors
,,,Mr Fabrizio Landi,P010105030,Current,BoD,Board of Directors
,,,Ms Silvia Merlo,P014323880,Current,BoD,Board of Directors
,,,Mr Maurizio Pinnaro,P194081207,Current,BoD,Board of Directors
,,,Mr Alessandro Stefano Maria Profumo,P130038788,Current,BoD,Board of Directors
,,,Mr Alessandro Stefano Maria Profumo,P130038788,Current,SenMan,Senior management
,,,Mr Ferruccio Resta,P069919560,Current,BoD,Board of Directors
,,,Ms Marina Rubini,P070921849,Current,BoD,Board of Directors
,,,Mr Antonino Turicchi,P086191180,Current,BoD,Board of Directors
,,,Mr Luca Rossi,P206809722,Current,AudC,Audit Committee
,,,Mr Luca Rossi,P206809722,Current,"FinAcc,OthDep",Finance & Accounting; Other or unspecified department
,,,Mr Giuseppe Cerati,P014368199,Current,AudC,Audit Committee
,,,Mr Giuseppe Cerati,P014368199,Current,SpecPos,Other specific positions
,,,Ms Anna Rita De Mauro,P071023658,Current,AudC,Audit Committee
,,,Ms Anna Rita De Mauro,P071023658,Current,SpecPos,Other specific positions
,,,Ms Sara Fornasiero,P348091399,Current,AudC,Audit Committee
,,,Ms Sara Fornasiero,P348091399,Current,SpecPos,Other specific positions
,,,Mr Eugenio Pinto,P071413031,Current,AudC,Audit Committee
,,,Mr Eugenio Pinto,P071413031,Current,SpecPos,Other specific positions
,,,Mr Leonardo Quagliata,P014414375,Current,AudC,Audit Committee
,,,Mr Leonardo Quagliata,P014414375,Current,SpecPos,Other specific positions
,,,Mr Amedeo Sacrestano,P070986422,Current,AudC,Audit Committee
,,,Mr Amedeo Sacrestano,P070986422,Current,SpecPos,Other specific positions
,,,Mr Lucio Valerio Cioffi,P086977502,Current,SenMan,Senior management
,,,Mr Lucio Valerio Cioffi,P086977502,Current,SenMan,Senior management
,,,Mr Lucio Valerio Cioffi,P086977502,Current,OthDep,Other or unspecified department
,,,Mr William J. Lynn III,P139542084,Current,SenMan,Senior management
,,,Mr Luigi Pasquali,P014355244,Current,SenMan,Senior management
,,,Mr Gian Piero Cutillo,P014353351,Current,SenMan,Senior management
,,,Mr Gian Piero Cutillo,P014353351,Current,SenMan,Senior management
,,,Mr Gian Piero Cutillo,P014353351,Current,OthDep,Other or unspecified department
,,,Mr Gabriele Pieralli,P087125244,Current,SenMan,Senior management
,,,Mr Gabriele Pieralli,P087125244,Current,SenMan,Senior management
,,,Mr Tommaso Profeta,P197441727,Current,SenMan,Senior management
,,,Mr Tommaso Profeta,P197441727,Current,SenMan,Senior management
,,,Mr Giancarlo Schisano,P014421628,Current,SenMan,Senior management
,,,Mr Giancarlo Schisano,P014421628,Current,SenMan,Senior management
,,,Mr Andrea Adorni,P498395685,Current,SenMan,Senior management
,,,Mr Stefano Amoroso,P454171784,Current,SenMan,Senior management
,,,Mr Stefano Amoroso,P454171784,Current,MarkAdv,Marketing & Advertising
,,,Mr Alessio Antonini,P050796615,Current,SenMan,Senior management
,,,Mr Federico Ariemma,P204329518,Current,SenMan,Senior management
,,,Mr Fabio Barsotti,P119261123,Current,SenMan,Senior management
,,,Mr Fabio Barsotti,P119261123,Current,OthDep,Other or unspecified department
,,,Mr Fabio Bartolomeo,P706534168,Current,SenMan,Senior management
,,,Mr Francesco Bellardi,P648789726,Current,SenMan,Senior management
,,,Ms Cinzia Berteotti,P119255830,Current,SenMan,Senior management
,,,Mr Massimiliano Maria Bertini,P490334378,Current,SenMan,Senior management
,,,Mr Massimo Bianchi,P119293793,Current,SenMan,Senior management
,,,Mr Fabrizio Maria Boggiani,P087186038,Current,SenMan,Senior management
,,,Mr Federico Bonaiuto,P050094349,Current,SenMan,Senior management
,,,Mr Luca Brazzit,P290771290,Current,SenMan,Senior management
,,,Mr Pasquale Buccione,P368394977,Current,SenMan,Senior management
,,,Mr Marco Buratti,P087186026,Current,SenMan,Senior management
,,,Ms Zaira Burlo,P689152649,Current,SenMan,Senior management
,,,Ms Zaira Burlo,P689152649,Current,OthDep,Other or unspecified department
,,,Mr Oreste Cafasso,P087177726,Current,SenMan,Senior management
,,,Mr Giovanni Calzolaio,P714937790,Current,SenMan,Senior management
,,,Mr Danilo Cannoletta,P159258168,Current,SenMan,Senior management
,,,Mr Roberto Cantamessa,P430552895,Current,SenMan,Senior management
,,,Mr Giampaolo Caputi,P620204384,Current,SenMan,Senior management
,,,Mr Marco Caroli,P695721671,Current,SenMan,Senior management
,,,Mr Giacinto Carullo,P689152648,Current,SenMan,Senior management
,,,Mr Giacinto Carullo,P689152648,Current,"Oper,Proc",Operations & Production & Manufacturing; Purchasing & Procurement
,,,Mr Luca Cattaneo,P333957265,Current,SenMan,Senior management
,,,Mr Giovanni Cecchelli,P256671052,Current,SenMan,Senior management
,,,Mr Massimo Chiominto,P159258314,Current,SenMan,Senior management
,,,Mr Marco Cicale,P635592734,Current,SenMan,Senior management
,,,Mr Andrea Colombo,P697442491,Current,SenMan,Senior management
,,,Mr Gabriele Colombo,P119293792,Current,SenMan,Senior management
,,,Mr Giovanni Colombo,P415755983,Current,SenMan,Senior management
,,,Mr Gianmarco Ernesto Maria Cremonesi,P041296519,Current,SenMan,Senior management
,,,Mr Giovanni Cristiano,P159191521,Current,SenMan,Senior management
,,,Mr Francesco Antonio Crupi,P159012925,Current,SenMan,Senior management
,,,Mr Marco Cuzzilla,P637675301,Current,SenMan,Senior management
,,,Mr Michele D'Urso,P714930393,Current,SenMan,Senior management
,,,Mr Emilio Dalmasso,P050797197,Current,SenMan,Senior management
,,,Mr Marco De Fazio,P071286447,Current,SenMan,Senior management
,,,Mr Davide De Stefanis,P735049141,Current,SenMan,Senior management
,,,Mr Vittorio Lorenzo Della Bella,P159260502,Current,SenMan,Senior management
,,,Mr Pasquale Di Bartolomeo,P119301814,Current,SenMan,Senior management
,,,Mr Pasquale Di Bartolomeo,P119301814,Current,Sales,Sales & Retail
,,,Mr Marco Di Capua,P409523723,Current,SenMan,Senior management
,,,Mr Marco Di Capua,P409523723,Current,SenMan,Senior management
,,,Mr Pasquale Di Nicuolo,P159584908,Current,SenMan,Senior management
,,,Mr Milco Fabiani,P635594601,Current,SenMan,Senior management
,,,Mr Alessandro Fanella,P087193981,Current,SenMan,Senior management
,,,Mr Davide Fazio,P159567353,Current,SenMan,Senior management
,,,Mr Giovanni Fiasca,P457254699,Current,SenMan,Senior management
,,,Mr Raffaele Gargiulo,P516295570,Current,SenMan,Senior management
,,,Ms Alessandra Genco,P158821454,Current,SenMan,Senior management
,,,Ms Alessandra Genco,P158821454,Current,FinAcc,Finance & Accounting
,,,Mr Davide Gervasi,P119267482,Current,SenMan,Senior management
,,,Mr Emanuele Girardi,P197425753,Current,SenMan,Senior management
,,,Mr Pasquale Giugliano,P087127205,Current,SenMan,Senior management
,,,Mr Filippo Maria Grasso,P649130524,Current,SenMan,Senior management
,,,Mr Filippo Maria Grasso,P649130524,Current,GovAff,Public & Government Affairs
,,,Mr Paolo Grazzini,P050797286,Current,SenMan,Senior management
,,,Mr Pasquale Greco,P714929459,Current,SenMan,Senior management
,,,Mr Carlo Gualdaroni,P014355584,Current,SenMan,Senior management
,,,Mr Erminio Marco Iacomussi,P081462333,Current,SenMan,Senior management
,,,Mr Erminio Marco Iacomussi,P081462333,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Antonino La Barbera,P050797294,Current,SenMan,Senior management
,,,Mr Paolo Lagana,P119267481,Current,SenMan,Senior management
,,,Mr Salvatore Lampone,P159118066,Current,SenMan,Senior management
,,,Mr Salvatore Lampone,P159118066,Current,LegDep,Legal/Compliance/Risk department
,,,LEONARDO GLOBAL SOLUTIONS SPA,CVA9330793,Current,SenMan,Senior management
,,,Mr Antonio Liotti,P086977379,Current,SenMan,Senior management
,,,Mr Antonio Liotti,P086977379,Current,HR,Human Resources (HR)
,,,Mr Michele Mainolfi,P322859550,Current,SenMan,Senior management
,,,Mr Fabrizio Mancastroppa,P204154227,Current,SenMan,Senior management
,,,Mr Stefano Manganelli,P272382789,Current,SenMan,Senior management
,,,Mr Daniele Mantovani,P490355332,Current,SenMan,Senior management
,,,Mr Marco Maracci,P685252011,Current,SenMan,Senior management
,,,Mr Ciro Marchetti,P259446601,Current,SenMan,Senior management
,,,Mr Dario Marfe,P258872381,Current,SenMan,Senior management
,,,Mr Manuele Marra,P401265369,Current,SenMan,Senior management
,,,Mr Simone Martini,P272392322,Current,SenMan,Senior management
,,,Mr Riccardo Martore,P735019458,Current,SenMan,Senior management
,,,Mr Ivano Masnata,P637696488,Current,SenMan,Senior management
,,,Mr Andrea Mattozzi,P740530475,Current,SenMan,Senior management
,,,Mr Guglielmo Maviglia,P516304542,Current,SenMan,Senior management
,,,Mr Luca Medici,P490331176,Current,SenMan,Senior management
,,,Mr Domenico Montella,P258714338,Current,SenMan,Senior management
,,,Mr Pierluigi Montis,P469533695,Current,SenMan,Senior management
,,,Mr Cristiano Montrucchio,P259110561,Current,SenMan,Senior management
,,,Mr Paolo Napoli,P706503002,Current,SenMan,Senior management
,,,Mr Giovanni Oliveri,P415736794,Current,SenMan,Senior management
,,,Mr Franco Ongaro,P713331885,Current,SenMan,Senior management
,,,Mr Franco Ongaro,P713331885,Current,R&D,Research & Development / Engineering
,,,Mr Fabio Ossola,P159260508,Current,SenMan,Senior management
,,,Mr Andrea Padella,P119258136,Current,SenMan,Senior management
,,,Mr Antonio Pandelli,P087177810,Current,SenMan,Senior management
,,,Mr Antonio Pandelli,P087177810,Current,R&D,Research & Development / Engineering
,,,Mr Tommaso Maria Pani,P669650324,Current,SenMan,Senior management
,,,Mr Angelo Pansini,P051531298,Current,SenMan,Senior management
,,,Mr Andrea Parrella,P200428733,Current,SenMan,Senior management
,,,Mr Andrea Parrella,P200428733,Current,LegDep,Legal/Compliance/Risk department
,,,Mr Biagio Passaro,P462389128,Current,SenMan,Senior management
,,,Mr Mauro Pellegri,P052022975,Current,SenMan,Senior management
,,,Mr Marco Pera,P050797697,Current,SenMan,Senior management
,,,Mr Luca Perazzo,P119293533,Current,SenMan,Senior management
,,,Mr Stefano Perini,P420613683,Current,SenMan,Senior management
,,,Mr Enrico Peruzzi,P014406865,Current,SenMan,Senior management
,,,Mr Enrico Peruzzi,P014406865,Current,SenMan,Senior management
,,,Mr Paolo Petrosso,P295990852,Current,SenMan,Senior management
,,,Mr Fabio Pibiri,P355444115,Current,SenMan,Senior management
,,,Mr Luca Picollo,P714935802,Current,SenMan,Senior management
,,,Mr Roggiero Pierozzi,P457245640,Current,SenMan,Senior management
,,,Mr Alberto Pitera,P490363842,Current,SenMan,Senior management
,,,Mr Franco Pittamiglio,P385068183,Current,SenMan,Senior management
,,,Mr Matteo Ragazzi,P500343774,Current,SenMan,Senior management
,,,Mr Fabio Renzi,P635633992,Current,SenMan,Senior management
,,,Mr Francesco Rizzi,P714936267,Current,SenMan,Senior management
,,,Ms Lucia Robino,P714935717,Current,SenMan,Senior management
,,,Mr Pierfilippo Rossetti,P258149361,Current,SenMan,Senior management
,,,Mr Gaspare Salardino,P086847261,Current,SenMan,Senior management
,,,Mr Andrea Salpietro,P670182687,Current,SenMan,Senior management
,,,Mr Andrea Salpietro,P670182687,Current,Health,Health & Safety
,,,Mr Marco Salvietti,P014367267,Current,SenMan,Senior management
,,,Mr Enrico Savio,P645844934,Current,SenMan,Senior management
,,,Mr Enrico Savio,P645844934,Current,PMPMan,Product/Project/Market Management
